ï»¿Informe de alerta de HP SiteScope - Tabla
"Monitor","Tipo","Estado","Mensaje","Fecha","Grupo",
"CPU RIC_AP","Mailto","Pass","imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com  di.operacion@imss.gob.mx clopezl@kionetworks.com jmendoza@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx sa-dedicated@kionetworks.com hco-ux@kionetworks.com","18/04/22 09:46 AM","RIC: Sistema: RIC_AP",
"CPU RIC_AP","Mailto","Pass","imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com  di.operacion@imss.gob.mx clopezl@kionetworks.com jmendoza@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx sa-dedicated@kionetworks.com hco-ux@kionetworks.com","18/04/22 01:06 PM","RIC: Sistema: RIC_AP",
"CPU RIC_AP","Mailto","Pass","imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com  di.operacion@imss.gob.mx clopezl@kionetworks.com jmendoza@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx sa-dedicated@kionetworks.com hco-ux@kionetworks.com","19/04/22 12:26 PM","RIC: Sistema: RIC_AP",
"CPU RIC_AP","Mailto","Pass","imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com  di.operacion@imss.gob.mx clopezl@kionetworks.com jmendoza@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx sa-dedicated@kionetworks.com hco-ux@kionetworks.com","21/04/22 09:26 AM","RIC: Sistema: RIC_AP",
"CPU occscsp01","Mailto","Pass","imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx sa-dedicated@kionetworks.com benjamin.vargas@imss.gob.mx david.rojasf@imss.gob.mx Ricardo.yanezm@imss.gob.mx salvador.sanchez@imss.gob.mx juliolr@microsoft.com carlos.ramirezriv@imss.gob.mx lucio.gomez@imss.gob.mx di.operacion@imss.gob.mx hco-cmi@kionetworks.com hco-intel@kionetworks.com alertasdemonitoreo@kionetworks.com imss.monitoreo@imss.gob.mx","18/04/22 10:30 AM","ENDPOINT PROTECTION: Sistema: occscsp01",
"CPU occscsp01","Mailto","Pass","imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx sa-dedicated@kionetworks.com benjamin.vargas@imss.gob.mx david.rojasf@imss.gob.mx Ricardo.yanezm@imss.gob.mx salvador.sanchez@imss.gob.mx juliolr@microsoft.com carlos.ramirezriv@imss.gob.mx lucio.gomez@imss.gob.mx di.operacion@imss.gob.mx hco-cmi@kionetworks.com hco-intel@kionetworks.com alertasdemonitoreo@kionetworks.com imss.monitoreo@imss.gob.mx","18/04/22 11:10 AM","ENDPOINT PROTECTION: Sistema: occscsp01",
"CPU occscsp01","Mailto","Pass","imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx sa-dedicated@kionetworks.com benjamin.vargas@imss.gob.mx david.rojasf@imss.gob.mx Ricardo.yanezm@imss.gob.mx salvador.sanchez@imss.gob.mx juliolr@microsoft.com carlos.ramirezriv@imss.gob.mx lucio.gomez@imss.gob.mx di.operacion@imss.gob.mx hco-cmi@kionetworks.com hco-intel@kionetworks.com alertasdemonitoreo@kionetworks.com imss.monitoreo@imss.gob.mx","21/04/22 06:10 PM","ENDPOINT PROTECTION: Sistema: occscsp01",
"CPU s5vpapattbd01","Mailto","Pass","imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com  di.operacion@imss.gob.mx clopezl@kionetworks.com jmendoza@kionetworks.com brenda.corona@imss.gob.mx guillermo.acosta@imss.gob.mx susana.apaseo@imss.gob.mx ivette.rodriguezt@imss.gob.mx hco-cmi@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx sa-dedicated@kionetworks.com","17/04/22 01:13 AM","CONT. DE TABLEROS DE CONTROL BIGDATA: Sistema: s5vpapattbd01",
"CPU s5vpapattbd01","Mailto","Pass","imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com  di.operacion@imss.gob.mx clopezl@kionetworks.com jmendoza@kionetworks.com brenda.corona@imss.gob.mx guillermo.acosta@imss.gob.mx susana.apaseo@imss.gob.mx ivette.rodriguezt@imss.gob.mx hco-cmi@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx sa-dedicated@kionetworks.com","20/04/22 06:33 AM","CONT. DE TABLEROS DE CONTROL BIGDATA: Sistema: s5vpapattbd01",
"CPU s5vpapattbd01","Mailto","Pass","imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx hco-cmi@kionetworks.com  di.operacion@imss.gob.mx clopezl@kionetworks.com jmendoza@kionetworks.com brenda.corona@imss.gob.mx guillermo.acosta@imss.gob.mx susana.apaseo@imss.gob.mx ivette.rodriguezt@imss.gob.mx hco-cmi@kionetworks.com imss.monitoreo@imss.gob.mx francisco.diazpa@imss.gob.mx sa-dedicated@kionetworks.com","20/04/22 09:03 AM","CONT. DE TABLEROS DE CONTROL BIGDATA: Sistema: s5vpapattbd01",
